Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
30.388,1009.5570068359375,2.8543083317345008e-05,11.468281745910645,-75.019775390625,231.15478515625,-6.3380279541015625,2.066371962428093e-09,0.56045186519622803,0
30.392,1015.7674560546875,7.4100861549377441,32.58465576171875,-56.255851745605469,203.40730285644531,-7.689786434173584,2.066371962428093e-09,0.35100015997886658,0
30.396,1015.8070068359375,29.014135360717773,62.79791259765625,-28.616531372070312,218.89714050292969,7.5623230934143066,2.066371962428093e-09,-0.069436155259609222,0
30.4,983.1668701171875,19.238763809204102,47.079273223876953,-49.642181396484375,240.68257141113281,3.4131202697753906,2.066371962428093e-09,-0.55761843919754028,0
30.404,961.90899658203125,6.4523568153381348,31.976791381835938,-60.603302001953125,251.34123229980469,-8.6495189666748047,2.066371962428093e-09,-0.72877597808837891,0
30.408,982.8831787109375,23.043294906616211,51.539012908935547,-28.707305908203125,269.28506469726562,0.11020936816930771,2.066371962428093e-09,-0.47790756821632385,0
30.412,1015.8893432617188,31.567682266235352,52.475372314453125,-22.083614349365234,283.34854125976562,9.0364809036254883,2.066371962428093e-09,-0.028081977739930153,0
30.416,1049.3179931640625,13.949447631835938,24.616571426391602,-49.685871124267578,264.98745727539062,-3.2150511741638184,2.066371962428093e-09,0.23235762119293213,0
30.42,1097.578125,12.741755485534668,26.577377319335938,-42.690093994140625,220.7880859375,-9.6057586669921875,2.066371962428093e-09,-0.05670735239982605,0
30.424,1133.3160400390625,30.877420425415039,49.691032409667969,-14.63410758972168,170.594482421875,2.5685164928436279,2.066371962428093e-09,-0.75532025098800659,0
30.428,1112.40234375,22.750289916992188,34.346881866455078,-30.198390960693359,90.642417907714844,1.1231889724731445,2.066371962428093e-09,-1.219613790512085,0
30.432,1053.388427734375,1.3621724843978882,7.8653831481933594,-51.852794647216797,-27.724405288696289,-14.738492012023926,2.066371962428093e-09,-1.2173258066177368,0
30.436,1007.1693115234375,10.260600090026855,21.704555511474609,-25.390237808227539,-129.69189453125,-10.088376045227051,2.066371962428093e-09,-1.0223079919815063,0
30.44,963.1614990234375,19.811422348022461,26.077432632446289,-9.6682615280151367,-196.26950073242188,2.4994213581085205,2.066371962428093e-09,-0.69574058055877686,0
30.444,903.93212890625,-2.7903263568878174,-14.06006908416748,-38.465930938720703,-270.28311157226562,-8.0388593673706055,2.066371962428093e-09,-0.32535934448242188,0
30.448,875.44696044921875,-12.273626327514648,-29.423303604125977,-38.266815185546875,-327.40447998046875,-15.886134147644043,2.066371962428093e-09,0.099386058747768402,0
30.452,893.7078857421875,10.076505661010742,-0.92433881759643555,-2.3829753398895264,-298.35336303710938,1.3716303110122681,2.066371962428093e-09,0.60132390260696411,0
30.456,926.14971923828125,15.814811706542969,10.009890556335449,-4.8450841903686523,-221.23641967773438,9.9951839447021484,2.066371962428093e-09,0.75085705518722534,0
30.46,970.47607421875,4.0093855857849121,10.506498336791992,-25.787633895874023,-162.22111511230469,-1.7774778604507446,2.066371962428093e-09,0.52453231811523438,0
30.464,1028.1324462890625,16.984884262084961,43.579822540283203,-3.1783325672149658,-115.48565673828125,-0.44118547439575195,2.066371962428093e-09,0.38052105903625488,0
30.468,1043.7867431640625,31.952678680419922,62.035655975341797,15.509722709655762,-83.484657287597656,10.157414436340332,2.066371962428093e-09,0.37256813049316406,0
30.472,979.11962890625,12.557319641113281,25.625759124755859,-13.341549873352051,-89.693214416503906,-0.16590511798858643,2.066371962428093e-09,0.091232404112815857,0
30.476,884.1883544921875,-2.3100676536560059,-1.3569799661636353,-22.380630493164062,-91.342514038085938,-12.319653511047363,2.066371962428093e-09,-0.45933064818382263,0
30.48,800.1722412109375,14.612945556640625,13.681918144226074,10.471174240112305,-31.283779144287109,-0.30669593811035156,2.066371962428093e-09,-0.76818275451660156,0
30.484,701.42852783203125,17.421295166015625,10.028193473815918,8.950770378112793,34.720451354980469,6.5158758163452148,2.066371962428093e-09,-0.62238311767578125,0
30.488,595.6351318359375,-2.9374649524688721,-13.948188781738281,-21.007089614868164,39.763111114501953,-8.01239013671875,2.066371962428093e-09,-0.26234763860702515,0
30.492,528.291015625,0.89830046892166138,0.34348377585411072,-6.8259987831115723,8.9998903274536133,-9.7858257293701172,2.066371962428093e-09,-0.012562751770019531,0
30.496,479.83740234375,17.247125625610352,22.871438980102539,17.703180313110352,-35.367607116699219,3.5873160362243652,2.066371962428093e-09,0.14157684147357941,0
