Time, Ch01, Ch02, Ch03, Ch04, Ch05
16.18,-32639.83984375,0.78057974576950073,0.60930472612380981,1.182421088218689,1.253737211227417
16.184,-32338.453125,0.96203422546386719,0.92550981044769287,1.1663303375244141,1.253737211227417
16.188,-32593.15625,1.1300748586654663,1.277069091796875,1.1525577306747437,1.253737211227417
16.192,-33199.29296875,1.2809159755706787,1.6407457590103149,1.1422834396362305,1.253737211227417
16.196,-32725.859375,1.4110393524169922,1.9910320043563843,1.1363979578018188,1.1363979578018188
16.2,-32366.421875,1.5170142650604248,2.3013319969177246,1.1354103088378906,1.1363979578018188
16.204,-32514.66796875,1.5955730676651001,2.5458533763885498,1.1393859386444092,1.1363979578018188
16.208,-33187.3671875,1.6438335180282593,2.7021884918212891,1.147922158241272,1.1363979578018188
16.212,-32826.55078125,1.6593335866928101,2.7533881664276123,1.1601768732070923,1.1363979578018188
16.216,-32397.84375,1.6401107311248779,2.6899631023406982,1.1749483346939087,1.1363979578018188
16.22,-32453.302734375,1.5849920511245728,2.5122001171112061,1.1908050775527954,1.1363979578018188
16.224,-33133.4375,1.4937105178833008,2.2311713695526123,1.2062585353851318,1.1363979578018188
16.228,-32921.08203125,1.3668168783187866,1.8681885004043579,1.2199538946151733,1.1363979578018188
16.232,-32454.447265625,1.2058036327362061,1.4539623260498047,1.230849027633667,1.2383725643157959
16.236,-32409.52734375,1.0133323669433594,1.026842474937439,1.2383725643157959,1.2383725643157959
16.24,-33041.67578125,0.79312151670455933,0.62904167175292969,1.2425210475921631,1.2383725643157959
16.244,-33009.48828125,0.54974669218063354,0.30222144722938538,1.2438873052597046,1.2383725643157959
16.248,-32523.73046875,0.28872823715209961,0.083363994956016541,1.2436100244522095,1.2383725643157959
16.252,-32388.787109375,0.016558310016989708,0.00027417764067649841,1.2432441711425781,1.2383725643157959
16.256,-32904.2421875,-0.25961732864379883,0.067401155829429626,1.2445592880249023,1.2383725643157959
16.26,-33112.6484375,-0.53224629163742065,0.28328609466552734,1.2492910623550415,1.2383725643157959
16.264,-32596.18359375,-0.79343432188034058,0.62953794002532959,1.2588691711425781,1.2383725643157959
16.268,-32367.515625,-1.0351928472518921,1.0716243982315063,1.2741603851318359,1.2383725643157959
16.272,-32749.537109375,-1.2497285604476929,1.5618215799331665,1.2952573299407959,1.2383725643157959
16.276,-33199.9296875,-1.4295203685760498,2.0435287952423096,1.3213431835174561,1.3213431835174561
16.28,-32677.509765625,-1.5675656795501709,2.4572620391845703,1.3506677150726318,1.3213431835174561
16.284,-32357.71875,-1.6579049825668335,2.7486488819122314,1.3806575536727905,1.3213431835174561
16.288,-32624.19921875,-1.6958377361297607,2.8758654594421387,1.4081563949584961,1.3213431835174561
16.292,-33219.36328125,-1.6778320074081421,2.8151202201843262,1.4297759532928467,1.3213431835174561
16.296,-32747.177734375,-1.6016824245452881,2.5653865337371826,1.442334771156311,1.3213431835174561
16.3,-32374.3125,-1.4668138027191162,2.1515426635742188,1.4433358907699585,1.3213431835174561
16.304,-32526.521484375,-1.2743241786956787,1.6239020824432373,1.4314330816268921,1.3213431835174561
16.308,-33188.3671875,-1.0269781351089478,1.054684042930603,1.4068323373794556,1.3295475244522095
16.312,-32826.92578125,-0.72932082414627075,0.53190886974334717,1.3715598583221436,1.3295475244522095
16.316,-32400.15625,-0.38760250806808472,0.15023569762706757,1.3295475244522095,1.3295475244522095
16.32,-32459.478515625,-0.0095374388620257378,9.0962741523981094e-05,1.2865066528320312,1.3295475244522095
16.324,-33127.59375,0.3956962525844574,0.1565755307674408,1.2495841979980469,1.3295475244522095
16.328,-32911.83203125,0.81740236282348633,0.66814661026000977,1.2267707586288452,1.3295475244522095
16.332,-32454.875,1.2437343597412109,1.546875,1.2261254787445068,1.3295475244522095
16.336,-32399.275390625,1.6621959209442139,2.7628951072692871,1.2549031972885132,1.3295475244522095
16.34,-33019.375,2.0598502159118652,4.242983341217041,1.3186458349227905,1.3295475244522095
16.344,-32997.6796875,2.4235832691192627,5.8737554550170898,1.4203395843505859,1.3295475244522095
16.348,-32517.21875,2.7406799793243408,7.5113272666931152,1.5597842931747437,1.3295475244522095
16.352,-32361.271484375,2.9992861747741699,8.9957180023193359,1.7332725524902344,1.3295475244522095
16.356,-32876.51953125,3.1886286735534668,10.167353630065918,1.9336096048355103,1.9336096048355103
16.36,-33093.14453125,3.2993996143341064,10.886037826538086,2.1505310535430908,1.9336096048355103
16.364,-32596.568359375,3.3241877555847168,11.050224304199219,2.371535062789917,1.9336096048355103
16.368,-32353.072265625,3.2575621604919434,10.611712455749512,2.5830206871032715,1.9336096048355103
16.372,-32720.353515625,3.0961372852325439,9.5860652923583984,2.7716567516326904,1.9336096048355103
16.376,-33186.84375,2.8389689922332764,8.0597438812255859,2.9258983135223389,1.9336096048355103
16.38,-32679.181640625,2.4877235889434814,6.1887688636779785,3.0374877452850342,1.9336096048355103
16.384,-32349.375,2.0464069843292236,4.1877813339233398,3.1027328968048096,1.9336096048355103
16.388,-32599.166015625,1.5213460922241211,2.3144938945770264,3.123481273651123,3.069159984588623
16.392,-33215.48046875,0.92145538330078125,0.84907996654510498,3.1076481342315674,3.069159984588623
16.396,-32748.677734375,0.25810790061950684,0.06661967933177948,3.069159984588623,3.069159984588623
16.4,-32366.802734375,-0.45524945855140686,0.20725207030773163,3.0272784233093262,3.069159984588623
16.404,-32503.943359375,-1.2032426595687866,1.4477927684783936,3.005317211151123,3.069159984588623
16.408,-33193.73828125,-1.9687868356704712,3.8761215209960938,3.0287959575653076,3.069159984588623
16.412,-32825.16796875,-2.7336516380310059,7.4728507995605469,3.1231849193572998,3.069159984588623
16.416,-32399.15625,-3.4789187908172607,12.102874755859375,3.3114433288574219,3.069159984588623
16.42,-32439.1875,-4.1852331161499023,17.51617431640625,3.6115226745605469,3.069159984588623
16.424,-33123.92578125,-4.8333992958068848,23.361749649047852,4.0341339111328125,3.069159984588623
16.428,-32912.375,-5.4051566123962402,29.215719223022461,4.5810842514038086,3.069159984588623
16.432,-32446.603515625,-5.883570671081543,34.616405487060547,5.2443337440490723,3.069159984588623
16.436,-32387.833984375,-6.2532644271850586,39.103321075439453,6.0058631896972656,6.0058631896972656
16.44,-33013.9375,-6.5010085105895996,42.263111114501953,6.8385453224182129,6.0058631896972656
16.444,-33000.2109375,-6.6163253784179688,43.7757568359375,7.7080154418945312,6.0058631896972656
16.448,-32510.734375,-6.5916609764099121,43.449993133544922,8.575347900390625,6.0058631896972656
16.452,-32367.58984375,-6.4225525856018066,41.249176025390625,9.4003267288208008,6.0058631896972656
16.456,-32863.2109375,-6.1080398559570312,37.308155059814453,10.1451416015625,6.0058631896972656
16.46,-33093.3125,-5.6507987976074219,31.931528091430664,10.778104782104492,6.0058631896972656
16.464,-32586.365234375,-5.0569372177124023,25.572612762451172,11.27696704864502,6.0058631896972656
16.468,-32352.759765625,-4.3359909057617188,18.800817489624023,11.631551742553711,11.936419486999512
16.472,-32697.65625,-3.5009059906005859,12.256342887878418,11.845441818237305,11.936419486999512
16.476,-33182.5234375,-2.5675570964813232,6.5923490524291992,11.936419486999512,11.936419486999512
16.48,-32665.18359375,-1.5543098449707031,2.4158790111541748,11.935590744018555,11.936419486999512
16.484,-32343.318359375,-0.48190173506736755,0.23222927749156952,11.885261535644531,11.936419486999512
16.488,-32584.453125,0.62698924541473389,0.39311552047729492,11.835607528686523,11.936419486999512
16.492,-33199.76953125,1.7485672235488892,3.0574870109558105,11.8404541015625,11.936419486999512
16.496,-32741.859375,2.8585026264190674,8.1710386276245117,11.952566146850586,11.936419486999512
16.5,-32368.875,3.9323348999023438,15.4632568359375,12.218801498413086,11.936419486999512
