EEG_time, Ch01, Ch02, Ch03, Ch04, Ch05,timestamp_rel,LIFU_LSL_time,marker
3.276,24018.859375,-0.9320653676986694,0.8687458038330078,1.915839910507202,4.5726165771484375,,,
3.28,23974.994140625,-0.822305679321289,0.6761865615844725,1.8884010314941408,4.5726165771484375,,,
3.284,24029.662109375,-0.7091996073722839,0.5029640197753906,1.8735806941986084,4.5726165771484375,,,
3.288,24075.34375,-0.5961265563964843,0.3553668856620788,1.8676497936248777,4.5726165771484375,,,
3.292,24033.09375,-0.4863328337669372,0.2365196198225021,1.866952657699585,4.5726165771484375,,,
3.296,23963.787109375,-0.3827114999294281,0.1464680880308151,1.8680375814437864,1.8680375814437864,,,
3.3,24047.99609375,-0.2876454293727874,0.0827398896217346,1.8677549362182615,1.8680375814437864,,,
3.304,24114.634765625,-0.2027585506439209,0.0411110334098339,1.863325119018555,1.8680375814437864,,,
3.308,24080.447265625,-0.1284927874803543,0.016510397195816,1.8523927927017207,1.8680375814437864,,,
3.312,24007.87109375,-0.0638215169310569,0.0040731863118708,1.833076238632202,1.8680375814437864,,,
3.316,24048.380859375,-0.006327680312097,4.003953654319048e-05,1.804025650024414,1.8680375814437864,,,
3.32,24108.556640625,0.0474809817969799,0.0022544439416378,1.7644895315170288,1.8680375814437864,,,
3.324,24094.943359375,0.1017740964889526,0.010357966646552,1.7143800258636477,1.8680375814437864,,,
3.328,24012.712890625,0.1609809845685958,0.0259148776531219,1.6543124914169312,1.8680375814437864,,,
3.332,24038.29296875,0.2293932139873504,0.0526212453842163,1.5856002569198608,1.8680375814437864,,,
3.336,24063.73046875,0.3107397556304931,0.0965592041611671,1.5102145671844482,1.8680375814437864,,,
3.34,24070.837890625,0.4076273441314697,0.1661600619554519,1.4306999444961548,1.8680375814437864,,,
3.344,23993.353515625,0.5209740400314331,0.2714139521121978,1.3500182628631592,1.8680375814437864,,,
3.348,23998.76171875,0.6497365832328796,0.4221576154232025,1.2713276147842407,1.8680375814437864,,,
3.352,24067.572265625,0.7909843325614929,0.6256561279296875,1.1977212429046633,1.8680375814437864,,,
3.356,24073.21875,0.9401686787605285,0.8839171528816223,1.1319726705551147,1.8680375814437864,,,
3.36,24014.333984375,1.091460943222046,1.1912870407104492,1.0762968063354492,1.8680375814437864,,,
3.364,23988.037109375,1.2380998134613037,1.532891035079956,1.03216552734375,1.8680375814437864,,,
3.368,24059.630859375,1.3727540969848633,1.8844537734985352,1.0001996755599976,1.8680375814437864,,,
3.372,24077.681640625,1.4879220724105835,2.21391224861145,0.9801491498947144,1.8680375814437864,,,
3.376,24043.5625,1.5763778686523438,2.4849674701690674,0.9709566831588744,1.8680375814437864,,,
3.38,24020.818359375,1.6316989660263062,2.6624412536621094,0.970902144908905,1.8680375814437864,,,
